   Vol_A   Vol_B
   0.74   0.33
   0.13   0.91
   0.01   0.93
   0.02   0.92
   0.42   0.55
   0.63   0.38
   0.18   0.76
   0.09   0.86
   0.19   0.69
   0.82   0.18
   1.00   0.06
   0.86   0.18
   0.25   0.78
   0.07   0.90
   0.09   0.81
   0.08   0.85
   0.09   0.89
   0.19   0.72
   0.42   0.44
   0.84   0.11
   0.70   0.30
   0.16   0.93
   0.07   0.90
   0.02   0.99
   0.03   1.07
   0.03   0.96
   0.12   1.01
   0.28   0.63
   0.55   0.39
   1.02   0.03
   1.03   0.00
   0.98   0.07
   0.19   0.76
   0.07   0.93
   0.09   0.91
   0.04   1.03
   0.10   0.91
   0.50   0.52
   0.72   0.25
   0.86   0.14
   0.89   0.19
   0.75   0.21
   0.74   0.21
   0.15   0.79
   0.08   0.94
   0.07   0.88
   0.34   0.67
   1.01   0.07
   1.02   0.01
   0.97   0.00
   1.00   0.00
   0.85   0.18
   0.13   0.88
   0.28   0.61
   0.43   0.50
   0.28   0.74
   0.32   0.66
   0.88   0.23
   1.03   0.01
   1.04   0.02
   0.47   0.54
   0.44   0.53
   0.85   0.07
   0.73   0.22
   0.85   0.17
   0.96   0.03
   1.06   0.01
   0.98   0.00
   1.06   0.00
   0.99   0.00
   0.97   0.00
   0.19   0.83
   0.06   1.01
   0.73   0.27
   0.79   0.16
   0.90   0.11
   0.85   0.08
   0.93   0.08
   0.97   0.00
   0.91   0.02
   0.35   0.64
   0.03   0.96
   0.09   0.91
   0.39   0.60
   0.89   0.08
   0.91   0.06
   0.88   0.08
   0.97   0.02
   1.00   0.03
   0.96   0.06
   0.70   0.34
   0.06   1.00
   0.24   0.77
   0.72   0.23
   1.06   0.00
   0.98   0.04
   0.95   0.08
   0.88   0.08
   0.98   0.00
   1.08   0.00
   0.98   0.07
   0.32   0.64
   0.03   0.96
   0.02   0.97
   0.23   0.70
   0.17   0.79
   0.13   0.88
   0.30   0.60
   0.24   0.73
   0.10   0.86
   0.06   0.94
   0.16   0.87
   0.62   0.34
   0.96   0.03
   0.99   0.00
   1.05   0.01
   0.98   0.05
   0.97   0.05
   1.05   0.00
   1.02   0.00
   1.01   0.00
   0.96   0.09
   0.16   0.81
   0.00   1.01
   0.00   1.07
   0.00   0.99
   0.00   0.92
   0.01   1.06
   0.04   0.97
   0.12   0.87
   0.08   0.95
   0.12   0.88
   0.21   0.72
   0.46   0.46
   1.03   0.04
   1.06   0.00
   1.00   0.02
   0.99   0.02
   1.01   0.01
   0.99   0.02
   1.05   0.01
   0.95   0.08
   0.08   0.87
   0.00   1.10
   0.00   1.00
   0.00   0.97
   0.00   1.02
   0.00   1.04
   0.01   1.06
   0.02   0.95
   0.03   0.97
   0.13   0.87
   0.02   0.92
   0.09   0.90
   0.88   0.12
   1.01   0.02
   1.02   0.00
   0.98   0.03
   0.66   0.34
   0.29   0.67
   0.37   0.59
   0.88   0.18
   0.19   0.77
   0.00   1.02
   0.00   0.97
   0.00   1.02
   0.01   1.06
   0.05   0.90
   0.16   0.80
   0.12   0.84
   0.66   0.32
   0.89   0.12
   0.40   0.54
   0.01   1.01
   0.37   0.60
   0.71   0.26
   0.80   0.16
   0.43   0.60
   0.08   0.93
   0.02   0.96
   0.10   0.86
   0.69   0.28
   0.80   0.12
   0.07   0.97
   0.00   1.10
   0.00   1.10
   0.03   0.94
   0.35   0.51
   0.85   0.11
   1.03   0.02
   0.94   0.00
   1.02   0.00
   0.63   0.31
   0.03   0.93
   0.17   0.84
   0.39   0.66
   0.27   0.69
   0.01   0.94
   0.00   0.97
   0.00   0.88
   0.08   0.87
   0.78   0.16
   0.96   0.05
   0.15   0.78
   0.10   0.89
